data,hora,municipio,tipo_crime,bairro,cep,logradouro,lat,lon,ano
2023-01-17,18:35:00,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.5504,-46.634259,2023
2022-01-17,20:30:00,S.PAULO,Roubo (art. 157),MOOCA,3102010.0,RUA DA FIGUEIRA,-23.5493,-46.625618,2023
2023-01-12,,S.PAULO,Roubo (art. 157),SE,1017010.0,RUA DOUTOR BETTENCOURT RODRIGUES,-23.5491,-46.631166,2023
2023-01-19,15:30:00,S.PAULO,Roubo (art. 157),SE,1016050.0,RUA FLORIANO PEIXOTO,-23.5489,-46.63303,2023
2023-01-19,15:30:00,S.PAULO,Roubo (art. 157),SE,1016050.0,RUA FLORIANO PEIXOTO,-23.5489,-46.63303,2023
2023-01-18,13:30:00,S.PAULO,Roubo (art. 157),SÉ,1014030.0,LARGO PÁTEO DO COLÉGIO,-23.5486,-46.633173,2023
2023-01-20,14:30:00,S.PAULO,Roubo (art. 157),SE,1016020.0,RUA SANTA TERESA,-23.5495,-46.633273,2023
2023-01-20,16:00:00,S.PAULO,Roubo (art. 157),SE,1503010.0,PRAÇA DA LIBERDADE,-23.5555,-46.635936,2023
2023-01-20,,S.PAULO,Roubo (art. 157),REPUBLICA,4008090.0,AVENIDA VINTE E TRES DE MAIO,-23.5489,-46.638863,2023
2023-01-20,15:30:00,S.PAULO,Roubo (art. 157),SE,1514070.0,AVENIDA LESTE OESTE,-23.5518,-46.624931,2023
2023-01-21,14:15:00,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.5506,-46.634343,2023
2023-01-22,07:00:00,S.PAULO,Roubo (art. 157),SE,1501001.0,PRAÇA DOUTOR JOAO MENDES,-23.5522,-46.634057,2023
2023-01-21,15:00:00,S.PAULO,Roubo (art. 157),SE,1016000.0,RUA VENCESLAU BRAS,-23.5493,-46.63359,2023
2023-01-21,15:00:00,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.5491,-46.63371,2023
2023-01-22,14:10:00,S.PAULO,Roubo (art. 157),SE,1001001.0,PRAÇA DA SE,-23.5506,-46.634343,2023
2023-01-23,01:00:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1021000.0,RUA VINTE E CINCO DE MARÇO,-23.5478,-46.631061,2023
2023-01-19,22:02:00,S.PAULO,Roubo (art. 157),SÉ,1001001.0,PRAÇA DA SÉ,-23.5492,-46.6339,2023
2023-01-19,22:02:00,S.PAULO,Roubo (art. 157),SÉ,1001001.0,PRAÇA DA SÉ,-23.5492,-46.6339,2023
2023-01-22,17:00:00,S.PAULO,Roubo (art. 157),SÉ,1017911.0,AVENIDA RANGEL PESTANA,-23.5502,-46.631499,2023
2023-01-26,15:22:00,S.PAULO,Roubo (art. 157),REPUBLICA,0.0,TERMINAL BANDEIRA,-23.5497,-46.639867,2023
2023-01-26,21:00:00,S.PAULO,Roubo (art. 157),LIBERDADE,13104098.0,RUA DA GLÓRIA,-23.5547,-46.634371,2023
2023-01-26,,S.PAULO,Roubo (art. 157),SE,1501010.0,RUA DOUTOR RODRIGO SILVA,-23.5522,-46.635567,2023
2023-01-25,12:30:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1023000.0,RUA BARÃO DE DUPRAT,-23.5404,-46.630635,2023
2023-01-27,12:30:00,S.PAULO,Roubo (art. 157),CENTRO HISTÓRICO DE SÃO PAULO,1021000.0,RUA VINTE E CINCO DE MARÇO,-23.5467,-46.631469,2023
2023-01-20,,S.PAULO,Roubo (art. 157),SE,1015000.0,RUA GENERAL CARNEIRO,-23.5479,-46.633619,2023
2023-01-29,08:03:00,S.PAULO,Roubo (art. 157),SE,1029010.0,LARGO SAO BENTO,-23.5439,-46.63429,2023
